item_name,normalized_name,quantity,unit_price,total_price,category,store_name,purchase_date
Greenwise Hmstyle Meatbal Ft,meatball,1,,9.59,protein,Publix,2026-03-17
Greenwise Hmstyle Meatbal Ft,meatball,1,,9.59,protein,Publix,2026-03-17
Sar Slcd Provolone Ft,cheese,1,,4.05,dairy,Publix,2026-03-17
Sar Slcd Colby Jack Chs Ft,cheese,1,,4.05,dairy,Publix,2026-03-17
Sar Nat Bld City Pppr S Ft,cheese,1,,4.05,dairy,Publix,2026-03-17
Enj Life Mini Chips SmSwt Ft,chocolate chips,1,,7.99,snack,Publix,2026-03-17
Sar Dtb Fine Chdr Jack Ft,cheese,1,,3.99,dairy,Publix,2026-03-17
Screamn's Sic Supremus Max Ft,pizza,1,,10.89,other,Publix,2026-03-17
Chobani Crmr Cinn Coff Ck Ft,creamer,1,,6.49,dairy,Publix,2026-03-17
Pub Frz Yogurt Coconut Rd Ft,frozen yogurt,1,,5.79,dairy,Publix,2026-03-17
Triscuit Fs Rsary Olv Oil Ft,cracker,1,,6.29,snack,Publix,2026-03-17
Smthfld Gar & Her Ln Flt Ft,pork,1,,9.49,protein,Publix,2026-03-17
Ground Round (15% Fat) Ft,ground beef,1,,12.43,protein,Publix,2026-03-17
Pbx Hot Ital Sausage Bulk Ft,sausage,1,,4.69,protein,Publix,2026-03-17
Portabellas Baby Whole Ft,mushroom,1,,2.00,vegetable,Publix,2026-03-17
Portabellas Baby Whole Ft,mushroom,1,,2.00,vegetable,Publix,2026-03-17
Portabellas Baby Whole Ft,mushroom,1,,2.00,vegetable,Publix,2026-03-17
Portabellas Baby Whole Ft,mushroom,1,,2.00,vegetable,Publix,2026-03-17
Sb Grind House Blend Ft,coffee,1,,11.59,beverage,Publix,2026-03-17
Mts Pimento Chs Wht Ched Ft,cheese,1,,8.49,dairy,Publix,2026-03-17
Potatoes Honey Gold Ft,potato,1,,2.49,vegetable,Publix,2026-03-17
Potatoes Honey Gold Ft,potato,1,,2.50,vegetable,Publix,2026-03-17
Organic Onion Yellow Gw Ft,onion,1,,4.99,vegetable,Publix,2026-03-17
Cauliflower Ft,cauliflower,1,,4.99,vegetable,Publix,2026-03-17
Syfo Seltzer Water Org Ft,seltzer,5,1.09,5.45,beverage,Publix,2026-03-17
Nerds Very Berry Shr Pch Ft,candy,1,,2.89,snack,Publix,2026-03-17
Nerds Gummy Clusters Ft,candy,1,,2.89,snack,Publix,2026-03-17
Sourdough Round Bread Ft,bread,1,,5.19,grain,Publix,2026-03-17
Egg Knot Roll 6Ct Ft,roll,1,,4.39,grain,Publix,2026-03-17
Old Wis Beef Sum Sausage Ft,sausage,2,,6.59,protein,Publix,2026-03-17
Hellmanns Real Mayo 30oz Ft,mayonnaise,1,,5.49,condiment,Publix,2026-03-17
Publix Yel Mustard Ft,mustard,1,,1.89,condiment,Publix,2026-03-17
Celery Hearts Ft,celery,1,,2.99,vegetable,Publix,2026-03-17
Publix Lrg Eggs 12ct Ft,egg,1,,3.29,dairy,Publix,2026-03-17
Vlasic Swt Relish Ft,relish,1,,2.59,condiment,Publix,2026-03-17
Org Carrots 2lb Ft,carrot,1,,2.49,vegetable,Publix,2026-03-17
Parsnips Premium Ft,parsnip,1,,3.99,vegetable,Publix,2026-03-17
Sweet Potatoes Bulk Ft,sweet potato,3,1.29,3.87,vegetable,Publix,2026-03-17
Pompeian EV Olive Oil Ft,olive oil,1,,8.99,condiment,Publix,2026-03-17
Qkr Old Fash Oats Ft,oats,1,,5.79,grain,Publix,2026-03-17
Alm Brz Unswt Milk Ft,almond milk,1,,3.99,dairy,Publix,2026-03-17
Navitas Org Chia Sds Ft,chia seeds,1,,6.49,grain,Publix,2026-03-17
Pub Pure Maple Syrp Ft,maple syrup,1,,7.99,condiment,Publix,2026-03-17
Driscolls Strawberries Ft,strawberry,1,,4.99,fruit,Publix,2026-03-17
Hass Avocados Lrg Ft,avocado,4,1.50,6.00,fruit,Publix,2026-03-17
Prog Panko Brdcrmb Ft,breadcrumbs,1,,2.89,grain,Publix,2026-03-17
Gld Mdl AP Flour 5lb Ft,flour,1,,4.29,other,Publix,2026-03-17
Publix Frsh Spinach Ft,spinach,1,,3.49,vegetable,Publix,2026-03-17
Reese Artichoke Hrts Ft,artichoke,2,,7.58,vegetable,Publix,2026-03-17
Phila Crm Chs 8oz Ft,cream cheese,2,,7.00,dairy,Publix,2026-03-17
Daisy Sour Cream Ft,sour cream,1,,2.99,dairy,Publix,2026-03-17
Kraft Shrd Mozz Chs Ft,cheese,1,,3.99,dairy,Publix,2026-03-17
Sargento Grtd Parm Ft,cheese,1,,4.59,dairy,Publix,2026-03-17
Fresh Garlic Bulb Ft,garlic,1,,0.99,vegetable,Publix,2026-03-17
Mahatma White Rice Ft,rice,1,,3.59,grain,Publix,2026-03-17
Barilla Spaghetti Ft,pasta,2,,3.58,grain,Publix,2026-03-17
Bushs Blk Beans 15oz Ft,black beans,3,1.25,3.75,vegetable,Publix,2026-03-17
Muir Glen Dcd Tom Ft,tomato,2,,5.98,vegetable,Publix,2026-03-17
Domino Gran Sugar Ft,sugar,1,,3.89,other,Publix,2026-03-17
Publix Unsltd Btr Ft,butter,1,,5.49,dairy,Publix,2026-03-17
Swanson Chk Broth Ft,broth,2,,5.58,other,Publix,2026-03-17
Jif Crmy Pnt Btr Ft,peanut butter,1,,3.49,condiment,Publix,2026-03-17
Smuckers Strw Jam Ft,jam,1,,3.99,condiment,Publix,2026-03-17
Honey Nut Cheerios Ft,cereal,1,,4.99,grain,Publix,2026-03-17
Morton Kosher Salt Ft,salt,1,,3.29,spice,Publix,2026-03-17
McCormick Blk Pppr Ft,pepper,1,,4.49,spice,Publix,2026-03-17
